sku;fecha ini;fecha fin
35;20220113;20220223
32;20200626;20200723
16;20120314;20120409
29;20130920;20131121
29;20210311;20210407
28;20210114;20210307
29;20200910;20201007
28;20170110;20170306
29;20201112;20201209
47;20151009;20151117
28;20190614;20190714
17;20210816;20210831
19;20181213;20190110
46;20171106;20171206
19;20190111;20190307
38;20141029;20141121
19;20211216;20220112
19;20210506;20210606
38;20181008;20181108
38;20120314;20120409
27;20200626;20200723
3;20211118;20211215
6;20150901;20151008
21;20200612;20200625
14;20170714;20170814
18;20220224;20220323
8;20180906;20181007
22;20160901;20160930
33;20170613;20170713
22;20180712;20180812
21;20220324;20220420
8;20170110;20170306
2;20120410;20120612
50;20210816;20210831
18;20170714;20170814
23;20160901;20160930
31;20160307;20160331
31;20150113;20150312
41;20190715;20190815
31;20201112;20201209
31;20110224;20110409
9;20210311;20210407
28;20220324;20220420
1;20160112;20160306
39;20220224;20220323
49;20130312;20130405
15;20210506;20210606
1;20181213;20190110
39;20180406;20180506
15;20180611;20180711
43;20120613;20120816
20;20191007;20191107
20;20210715;20210815
20;20210923;20211020
19;20171005;20171105
37;20181213;20190110
37;20150113;20150312
25;20190530;20190626
25;20191114;20191211
3;20141029;20141121
25;20180903;20181003
5;20120112;20120313
34;20141029;20141121
34;20120613;20120816
5;20181213;20190110
33;20210311;20210407
14;20160307;20160331
22;20210311;20210407
33;20110924;20111124
33;20120927;20121121
11;20170110;20170306
4;20220113;20220223
33;20181008;20181108
40;20210311;20210407
31;20211118;20211215
45;20190906;20191006
31;20171207;20180107
23;20210506;20210606
40;20140714;20140813
45;20191007;20191107
41;20201008;20201108
31;20210923;20211020
41;20191007;20191107
23;20170316;20170416
47;20110424;20110616
48;20170714;20170814
17;20180108;20180306
48;20180712;20180812
9;20210715;20210815
47;20210311;20210407
48;20220224;20220323
48;20171207;20180107
29;20171005;20171105
17;20210506;20210606
29;20170613;20170713
47;20160401;20160430
15;20190715;20190815
43;20200324;20200414
43;20190614;20190714
24;20170905;20171004
49;20201210;20210113
24;20160401;20160430
16;20131122;20140115
38;20130312;20130405
38;20200324;20200414
38;20180305;20180405
19;20210715;20210815
37;20211021;20211117
37;20130819;20130919
38;20180712;20180812
38;20181112;20181212
37;20160112;20160306
3;20151009;20151117
3;20140828;20141028
3;20200825;20200909
22;20200825;20200909
18;20200324;20200414
33;20130112;20130311
8;20160112;20160306
22;20191007;20191107
33;20190819;20190905
4;20210816;20210831
11;20190329;20190425
18;20211021;20211117
33;20140828;20141028
33;20190516;20190613
34;20190715;20190815
34;20171106;20171206
5;20210816;20210831
34;20210923;20211020
5;20170905;20171004
5;20210923;20211020
5;20191210;20200110
34;20110104;20110111
10;20180611;20180711
34;20110224;20110409
36;20211021;20211117
45;20170521;20170612
45;20170613;20170713
23;20190516;20190613
36;20160112;20160306
45;20170714;20170814
36;20150901;20151008
45;20121122;20130111
45;20200910;20201007
28;20170714;20170814
29;20141029;20141121
47;20191210;20200110
47;20200612;20200625
17;20110828;20110923
29;20211021;20211117
43;20160307;20160331
7;20130312;20130405
39;20150113;20150312
24;20180108;20180306
12;20190627;20190724
30;20190103;20190131
43;20130406;20130613
20;20190819;20190905
16;20200324;20200414
46;20160401;20160430
46;20180611;20180711
19;20190426;20190515
46;20211118;20211215
38;20140116;20140321
3;20180406;20180506
3;20220113;20220223
27;20180406;20180506
3;20111125;20120111
5;20180906;20181007
5;20191007;20191107
10;20191108;20191208
34;20181008;20181108
34;20201112;20201209
10;20200113;20200305
4;20130819;20130919
21;20220113;20220223
33;20140613;20140713
18;20200626;20200723
21;20181008;20181108
18;20180108;20180303
50;20170905;20171004
14;20210901;20210922
42;20171207;20180107
4;20170905;20171004
36;20190426;20190515
31;20190426;20190515
36;20170714;20170814
31;20120927;20121121
23;20200724;20200824
48;20210715;20210815
28;20211021;20211117
17;20121122;20130111
48;20140714;20140813
48;20150113;20150312
29;20160112;20160306
47;20190819;20190905
29;20170110;20170306
29;20210923;20211020
30;20180402;20180429
49;20170613;20170713
1;20210506;20210606
16;20170521;20170612
37;20190426;20190515
19;20150410;20150611
3;20130819;20130919
27;20170521;20170612
6;20191007;20191107
25;20181130;20181231
6;20220113;20220223
6;20170420;20170520
3;20181112;20181212
5;20180108;20180306
10;20181213;20190110
10;20180406;20180506
34;20160401;20160430
5;20130312;20130405
5;20210506;20210606
5;20180611;20180711
5;20170613;20170713
33;20210114;20210307
2;20160610;20160710
4;20130312;20130405
33;20211021;20211117
42;20211021;20211117
14;20160112;20160306
4;20180108;20180306
11;20170714;20170814
33;20160714;20160815
4;20190715;20190815
18;20190426;20190515
